qid,prediction
00014894849d00ba98a9,0
000156468431f09b3cae,0
000227734433360e1aae,0
0005e06fbe3045bd2a92,0
00068a0f7f41f50fc399,0
000a2d30e3ffd70c070d,0
000b67672ec9622ff761,0
000b7fb1146d712c1105,0
000d665a8ddc426a1907,0
000df6fd2229447b2969,0
000e8d4169c8dc7ab5ee,0
000ef78071824e781d67,0
001014ae8ebec25a597a,0
0010236e0aa3ab39a282,0
00105665c8ffd3c5852a,0
00106ef7c87fca3b77a8,0
001441e83b68c02c30da,0
0014a461bd2a374f2eec,0
0017148dde8e587c0f9c,0
00175846ae0cfa2fc7d4,0
0018d0ba9822bdb872b3,0
001a492c2df37ba885d0,0
001a52478cd34a11aee6,0
001c132aa697402a00db,0
001cb1f0c10c8e413418,0
001e31e30a5762fa97fd,0
001e50b789e8db63b7bb,0
0021ef17b8d5a2cfa678,0
00262cae7eb54e29dce7,0
00277400ab4bae3246b0,0
00287db03716e945d491,0
002ae42c01ea0481a095,0
002b1f3affefacd9d3ad,0
002b9348a4907bb18f3e,0
002c93ba07ab88d1bd93,0
002cac1ac261e86fd770,0
002cf96dede4f6182757,0
002d1c5859e1d2db5f33,0
002f7e0035c5c352e4c6,0
003069ba70645b15c3ba,0
0032e99a8b20fdf06fa3,0
003422717ffe5e1cf403,0
0036696fb9d739e9afbf,0
0037508b02b395e6feed,0
0037a73a9ecbd8920f91,0
0037b011bddd6f330919,0
0039457910b8a802121b,0
00399c2236f28c3b6c72,0
003a462692950cc4884b,0
003cecd8c8afd2bd1ca0,0
003da341bc2d578818b2,0
003ec867b01fbc195a6f,0
0042f074b81ab833982c,0
0043c9a2eef81e694a12,0
0045631c9addae05959e,0
00477a2b35825d705e67,0
00483acc724f52374664,0
0048914230355aed33bd,0
0048cfd72e6c0f434f5e,0
004dabf418e017eaa810,0
0050e4482f0e95bdb4d7,0
00515115172cb2ccbd42,0
005238b49b0b93460e4d,0
00526a263a409fcb9a7b,0
00538508b015ad240afb,0
00543b92b168a6f86e3e,0
0055976a08be122ca564,0
0056b6e24336f08d8ea1,0
0059a95549e24a31f746,0
005af7396a84a515f67c,0
005bdbd42f2a5f2359a9,0
005c13e5dfa2abc82026,0
005ca39f35e5e2723184,0
005e66c0822365210735,0
005ed837dbe46466085f,0
005fdff4a2e6b2f81dd9,0
00606077f6fe3bb93630,0
0061c39bba71f03ac780,0
0061fc56b4a1f27e802b,0
00626bfb7fb79a1823bc,0
00627daf7194fcf7cbad,0
006428668c592a8d40e8,0
00662dd4d61393e22f38,0
00672e08658fc45175d0,0
00679f1a45e588e1de0a,0
0067b851693044216b69,0
0069468befb619ce22c6,0
006c57aece642d975e98,0
006c793aefecfea732e1,0
006e81e91e754b65c1f5,0
0075302091236862234d,0
0075eb835c256ac77872,0
00772b748e996dee2147,0
007aa59a40ef8defcca9,0
007bcf30160dd4ff8095,0
007bf4638195efc95d11,0
007ca3c66488a9a8205c,0
007dd2133411ac4de1d2,0
007e65e4441890f4416b,0
00826e978415f172d856,0
